ID,Energy
2023-01-01 06:00:00_B_0,53.30581830258008
2023-01-01 11:00:00_B_0,66.45447474414348
2023-01-01 12:00:00_B_0,63.45803293612205
2023-01-01 13:00:00_B_0,65.08186166613436
2023-01-01 23:00:00_B_0,76.1579214045914
2023-01-02 07:00:00_B_0,66.96284758389649
2023-01-02 19:00:00_B_0,81.39497463890584
2023-01-04 02:00:00_B_0,57.47784290114873
2023-01-04 05:00:00_B_0,51.9803865875298
2023-01-04 09:00:00_B_0,61.37650366078019
2023-01-04 13:00:00_B_0,72.06360044200011
2023-01-05 02:00:00_B_0,61.92662438068779
2023-01-05 06:00:00_B_0,50.87898982781432
2023-01-05 11:00:00_B_0,65.05029561192848
2023-01-05 13:00:00_B_0,64.2621648186292
2023-01-05 18:00:00_B_0,75.27485450480772
2023-01-06 06:00:00_B_0,51.87957798026207
2023-01-06 22:00:00_B_0,73.2843768935192
2023-01-07 10:00:00_B_0,68.88877367792111
2023-01-01 02:00:00_B_1,18.10796987529456
2023-01-01 09:00:00_B_1,16.790154939507932
2023-01-02 13:00:00_B_1,17.477696827998905
2023-01-02 15:00:00_B_1,17.447228784733486
2023-01-02 18:00:00_B_1,17.504719095726983
2023-01-03 01:00:00_B_1,15.38733967662262
2023-01-03 05:00:00_B_1,16.552743854304865
2023-01-03 13:00:00_B_1,16.930306398584737
2023-01-03 14:00:00_B_1,17.460911325713603
2023-01-03 17:00:00_B_1,19.05195390161976
2023-01-03 18:00:00_B_1,19.34282884832445
2023-01-03 23:00:00_B_1,18.773800202060293
2023-01-04 01:00:00_B_1,18.361610471341375
2023-01-04 03:00:00_B_1,18.810148967827917
2023-01-04 08:00:00_B_1,18.18430131330544
2023-01-04 09:00:00_B_1,17.709513222828768
2023-01-04 12:00:00_B_1,16.98079102665834
2023-01-04 16:00:00_B_1,20.40137268301539
2023-01-04 19:00:00_B_1,17.433855379619278
2023-01-04 22:00:00_B_1,19.210191290459036
2023-01-05 11:00:00_B_1,18.021282217924384
2023-01-05 18:00:00_B_1,18.773118628580562
2023-01-05 19:00:00_B_1,16.786713149050502
2023-01-05 20:00:00_B_1,17.59684544317998
2023-01-05 23:00:00_B_1,25.661784334024684
2023-01-06 03:00:00_B_1,16.192246332170185
2023-01-06 05:00:00_B_1,16.548023355573836
2023-01-06 17:00:00_B_1,17.605396413782266
2023-01-01 02:00:00_B_2,49.80763533303948
2023-01-01 05:00:00_B_2,49.22015701326687
2023-01-01 09:00:00_B_2,54.145063495450664
2023-01-02 03:00:00_B_2,49.95478405054807
2023-01-02 05:00:00_B_2,50.47630429941442
2023-01-02 10:00:00_B_2,58.11528525537106
2023-01-02 17:00:00_B_2,54.22036334162293
2023-01-02 20:00:00_B_2,54.22790538601974
2023-01-02 21:00:00_B_2,55.08780578138463
2023-01-03 08:00:00_B_2,53.04986815815698
