ID,Energy
2023-01-01 06:00:00_B_0,60.48410106966028
2023-01-01 11:00:00_B_0,74.22552685588383
2023-01-01 12:00:00_B_0,70.2373787970908
2023-01-01 13:00:00_B_0,71.02589469804187
2023-01-01 23:00:00_B_0,79.52393543586263
2023-01-02 07:00:00_B_0,82.66459257760879
2023-01-02 19:00:00_B_0,84.5025080094828
2023-01-04 02:00:00_B_0,60.97936625230401
2023-01-04 05:00:00_B_0,55.35017349132171
2023-01-04 09:00:00_B_0,66.06093894166008
2023-01-04 13:00:00_B_0,75.8527713828978
2023-01-05 02:00:00_B_0,63.30028946998749
2023-01-05 06:00:00_B_0,55.70212371491425
2023-01-05 11:00:00_B_0,73.02155910010042
2023-01-05 13:00:00_B_0,68.88725571818928
2023-01-05 18:00:00_B_0,84.0435441648821
2023-01-06 06:00:00_B_0,57.96930864626701
2023-01-06 22:00:00_B_0,82.81564618276096
2023-01-07 10:00:00_B_0,74.5233244343347
2023-01-01 02:00:00_B_1,17.830057701692674
2023-01-01 09:00:00_B_1,15.128580168245145
2023-01-02 13:00:00_B_1,17.726645981218518
2023-01-02 15:00:00_B_1,17.31587100541944
2023-01-02 18:00:00_B_1,18.226941961234065
2023-01-03 01:00:00_B_1,14.67892542276675
2023-01-03 05:00:00_B_1,15.857424776677258
2023-01-03 13:00:00_B_1,17.36953618034738
2023-01-03 14:00:00_B_1,17.183410218448223
2023-01-03 17:00:00_B_1,20.81347033407375
2023-01-03 18:00:00_B_1,19.830420150456213
2023-01-03 23:00:00_B_1,18.650598284320044
2023-01-04 01:00:00_B_1,16.80766252696356
2023-01-04 03:00:00_B_1,17.525164941423853
2023-01-04 08:00:00_B_1,18.021047112777488
2023-01-04 09:00:00_B_1,16.181149360359104
2023-01-04 12:00:00_B_1,16.851818602511834
2023-01-04 16:00:00_B_1,20.863591108366762
2023-01-04 19:00:00_B_1,17.591707245165058
2023-01-04 22:00:00_B_1,19.570324138110983
2023-01-05 11:00:00_B_1,17.379459395607448
2023-01-05 18:00:00_B_1,19.446933329970644
2023-01-05 19:00:00_B_1,17.02154183419089
2023-01-05 20:00:00_B_1,17.644805447648473
2023-01-05 23:00:00_B_1,24.603895338826412
2023-01-06 03:00:00_B_1,16.301815525329765
2023-01-06 05:00:00_B_1,15.514366214072789
2023-01-06 17:00:00_B_1,19.36264810243482
2023-01-01 02:00:00_B_2,51.67785788277929
2023-01-01 05:00:00_B_2,49.83184498493252
2023-01-01 09:00:00_B_2,56.21222001198591
2023-01-02 03:00:00_B_2,51.443376369662154
2023-01-02 05:00:00_B_2,51.2342092519758
2023-01-02 10:00:00_B_2,59.193411664249325
2023-01-02 17:00:00_B_2,59.61108976996555
